street|number|locality|xpos|ypos|street_sv
"Röyläntie"|11|"Espoo"|2539276|6683447|"Rödskogsvägen"
"Röyläntie"|27|"Espoo"|2539579|6685642|"Rödskogsvägen"
"Röyläntie"|29|"Espoo"|2539492|6685755|"Rödskogsvägen"
"Röyläntie"|30|"Espoo"|2539462|6685724|"Rödskogsvägen"
"Sakkolantie"|2|"Espoo"|2544980|6676453|"Sakkolavägen"
"Seilikaari"|3|"Espoo"|2542992|6675781|"Söilibågen"
"Siikajärventie"|2|"Espoo"|2529202|6682710|"Siikajärvivägen"
"Siikajärventie"|16|"Espoo"|2529022|6683219|"Siikajärvivägen"
"Siirtomaidenkuja"|1|"Espoo"|2534210|6672187|"Kolonialgränden"
"Sinimäentie"|8|"Espoo"|2543116|6677120|"Blåbackavägen"
"Sinimäentie"|10|"Espoo"|2543290|6677037|"Blåbackavägen"
"Snettansintie"|3|"Espoo"|2537279|6685146|"Snettansvägen"
"Snettansintie"|17|"Espoo"|2537649|6686206|"Snettansvägen"
"Snettansintie"|30|"Espoo"|2537628|6686694|"Snettansvägen"
"Snettansintie"|32|"Espoo"|2537698|6686819|"Snettansvägen"
"Snettansintie"|41|"Espoo"|2538407|6687460|"Snettansvägen"
"Soittotie"|7|"Espoo"|2538039|6681762|"Spelvägen"
"Solvikintie"|56|"Espoo"|2532076|6685802|"Solvikvägen"
"Soukan Rantatie"|39|"Espoo"|2537475|6668311|"Sökö Strandväg"
"Soukanraitti"|1|"Espoo"|2537452|6669985|"Sököstråket"
"Staffanintie"|3|"Espoo"|2537611|6668168|"Staffansvägen"
"Suokalliontie"|22|"Espoo"|2529569|6687229|"Myrbergsvägen"
"Suolaaksontie"|16|"Espoo"|2529520|6686587|"Myrdalsvägen"
"Suopurontie"|2|"Espoo"|2541390|6686138|"Mossabäcksvägen"
"Suopurontie"|6|"Espoo"|2541281|6686198|"Mossabäcksvägen"
"Suvisaarentie"|34|"Espoo"|2539758|6668467|"Sommarövägen"
"Sävasundintie"|4|"Espoo"|2540449|6667476|"Sävasundsvägen"
"Tammitie"|1|"Espoo"|2538390|6672150|"Ekvägen"
"Tapionraitti"|1|"Espoo"|2544493|6674094|"Tapiostråket"
"Tapiontorintie"|4|"Espoo"|2544878|6674158|"Tapiotorgvägen"
"Tekniikantie"|11|"Espoo"|2545651|6674762|"Teknikvägen"
"Turuntie"|117|"Espoo"|2543700|6679415|"Åbovägen"
"Turveradantie"|15|"Espoo"|2543702|6676359|"Torvbanevägen"
"Uudenpellontie"|2|"Espoo"|2530159|6683689|"Nyåkersvägen"
"Vanha Lahnuksentie"|6|"Espoo"|2539777|6689393|"Gamla Lahnusvägen"
"Vanha Lahnuksentie"|8|"Espoo"|2539468|6689185|"Gamla Lahnusvägen"
"Vanha Luukintie"|13|"Espoo"|2539300|6690421|"Gamla Lukvägen"
"Vanha Myntintie"|20|"Espoo"|2533157|6677442|"Gamla Myntvägen"
"Vanhankartanontie"|37|"Espoo"|2541546|6682996|"Gammelgårdsvägen"
"Vanhankartanontie"|44|"Espoo"|2541475|6683553|"Gammelgårdsvägen"
"Vanhankartanontie"|45|"Espoo"|2541697|6683770|"Gammelgårdsvägen"
"Vanhankartanontie"|48|"Espoo"|2541535|6683700|"Gammelgårdsvägen"
"Vantinmäentie"|6|"Espoo"|2534202|6675530|"Fantsbacksvägen"
"Veininlaaksontie"|1|"Espoo"|2541871|6680406|"Sveinsdalsvägen"
"Velskolanportti"|1|"Espoo"|2535787|6688938|"Vällskogsporten"
"Velskolantie"|16|"Espoo"|2535821|6690037|"Vällskogsvägen"
"Velskolantie"|41|"Espoo"|2535664|6688019|"Vällskogsvägen"
"Velskolantie"|67|"Espoo"|2535915|6685609|"Vällskogsvägen"
"Verkkosaarenkuja"|5|"Espoo"|2537431|6668168|"Nätholmsgränden"
"Vermontie"|1|"Espoo"|2546288|6678566|"Vermovägen"
"Vihdintie"|59|"Espoo"|2541170|6688790|"Vichtisvägen"
"Vihdintie"|61|"Espoo"|2540925|6688786|"Vichtisvägen"
"Vihdintie"|63|"Espoo"|2540675|6688989|"Vichtisvägen"
"Vihdintie"|97|"Espoo"|2536228|6690699|"Vichtisvägen"
"Vihdintie"|103|"Espoo"|2535493|6690846|"Vichtisvägen"
"Vihdintie"|112|"Espoo"|2539302|6689809|"Vichtisvägen"
"Vihermäki"|1|"Espoo"|2538459|6684802|"Grönkulla"
"Viserrystie"|1|"Espoo"|2545141|6680229|"Kvittervägen"
"Väli-Henttaan tie"|14|"Espoo"|2540454|6675562|"Mellanhemtvägen"
"Ylämyllyntie"|3|"Espoo"|2536696|6679329|"Övre Kvarnvägen"
"Majakkakuja"|3|"Helsinki"|2567580|6682455|"Fyrgränd"
