LON,LAT,NUMBER,STREET,CITY,DISTRICT,REGION,POSTCODE,ID
25.4915164,65.0150833,16,Tornipolku,,,,,
25.4140258,65.0680958,1,Kissankäpälätie,,,,,
25.491739,65.0152669,14,Tornipolku,,,,,
25.5042067,65.0645136,11,Kerttulantie,,,,,
25.4139315,65.0672369,10,Tähtimötie,,,,,
25.4924217,65.0158209,12,Tornipolku,,,,,
25.4139393,65.0669896,8,Tähtimötie,,,,,
25.4926035,65.0159564,10,Tornipolku,,,,,
25.4140364,65.0668473,6,Tähtimötie,,,,,
25.4934553,65.0163002,8,Tornipolku,,,,,
25.4142182,65.0665924,4,Tähtimötie,,,,,
25.494773,65.0162833,6,Tornipolku,,,,,
25.4144146,65.0663491,2,Tähtimötie,,,,,
25.4952117,65.0162575,4,Tornipolku,,,,,
25.5142259,65.0635827,14,Liikasentie,,,,,
25.408589,65.067932,3,Pensaskarintie,,,,,
25.4972723,65.0162449,2,Intiöntie,,,,,
25.5137451,65.0636444,12,Liikasentie,,,,,
25.4096962,65.0654239,18,Kraaselintie,,,,,
25.4955499,65.0160718,2,Tornipolku,,,,,
25.4126969,65.063469,2,Oivantie,,,,,
25.4972799,65.0159581,4,Intiöntie,,,,,
25.4941568,65.0169444,4,Kenttätie,,,,,
25.4975957,65.0154015,7,Intiöntie,,,,,
25.4163177,65.0623287,3,Selkäkarintie,,,,,
25.4169971,65.0615842,11,Runniletonpolku,,,,,
25.416752,65.0661814,2,Tervakukkakuja,,,,,
25.4175648,65.0662447,4,Tervakukkakuja,,,,,
25.4900237,65.0065842,19,Teuvo Pakkalan Katu,,,,,
25.4135215,65.0659136,1,Helmikkäkuja,,,,,
25.4910926,65.0072948,17,Teuvo Pakkalan Katu,,,,,
25.413935,65.0660928,2,Helmikkäkuja,,,,,
25.4130699,65.0664294,1,Nurmikkakuja,,,,,
25.4140089,65.0663574,3,Tähtimötie,,,,,
25.4931893,65.0073165,4,Urheilukatu,,,,,
25.413197,65.0665672,2,Nurmikkakuja,,,,,
25.4130236,65.0669667,1,Tähtimökuja,,,,,
25.4136597,65.0668281,7,Tähtimötie,,,,,
25.4920853,65.0079906,15,Teuvo Pakkalan Katu,,,,,
25.4131506,65.0671045,2,Tähtimökuja,,,,,
25.4936219,65.0073637,3,Urheilukatu,,,,,
25.4940103,65.0085223,11,Teuvo Pakkalan Katu,,,,,
25.4929563,65.0085481,11b,Teuvo Pakkalan Katu,,,,,
25.4975062,65.0093414,3,Pikkukankaantie,,,,,
25.4975339,65.0092124,4,Pikkukankaantie,,,,,
25.5237645,65.0655263,27,Kivikankaankuja,,,,,
25.523757,65.0659134,25,Kivikankaankuja,,,,,
25.3966727,65.0692441,21,Karinkannantie,,,,,
25.5045364,65.0079987,8,Ylioppilaantie,,,,,
25.5009637,65.0105646,36,Kajaanintie,,,,,
25.5026827,65.0114265,38,Kajaanintie,,,,,
25.5231226,65.0656574,28,Kivikankaankuja,,,,,
25.3926085,65.0705287,43,Karinkannantie,,,,,
25.526345,65.068899,16,Kalikkalammentie,,,,,
25.483257,65.0073223,1,Kainuuntie,,,,,
25.4831051,65.0079295,14,Ratakatu,,,,,
25.5160083,65.0632649,24,Liikasentie,,,,,
25.4845958,65.0074535,14,Syrjäkatu,,,,,
25.5147532,65.0634944,18,Liikasentie,,,,,
25.4857792,65.0082721,10,Syrjäkatu,,,,,
25.5257508,65.0690396,10,Kalikkalammentie,,,,,
25.3968318,65.0706326,8,Purutie,,,,,
25.4842556,65.0087311,12,Ratakatu,,,,,
25.3963951,65.0707279,10,Purutie,,,,,
25.3976833,65.0712622,5,Lastutie,,,,,
25.4837705,65.0083215,13,Ratakatu,,,,,
25.3982061,65.0712061,3,Lastutie,,,,,
25.3989262,65.070508,18,Karinkannantie,,,,,
25.5155571,65.0642202,6,Liikasentie,,,,,
25.5021937,64.9963884,7b,Haapanatie,,,,,
25.5267412,64.9481498,48,Huhtakalliontie,,,,,
25.5022426,64.9962855,9a,Haapanatie,,,,,
25.5022942,64.9961843,9b,Haapanatie,,,,,
25.5273967,64.9488919,49,Huhtakalliontie,,,,,
25.5023353,64.9960848,11a,Haapanatie,,,,,
25.502408,64.9959546,11b,Haapanatie,,,,,
25.5025075,64.9957924,13a,Haapanatie,,,,,
25.5025439,64.9956908,13b,Haapanatie,,,,,
25.5026,64.9955883,15a,Haapanatie,,,,,
25.5026573,64.9954794,15b,Haapanatie,,,,,
25.5027006,64.9953803,17a,Haapanatie,,,,,
25.5027562,64.9952745,17b,Haapanatie,,,,,
25.5028121,64.9951656,19a,Haapanatie,,,,,
25.5031307,64.9951112,19b,Haapanatie,,,,,
25.4964683,64.9956743,17m,Hanhitie,,,,,
25.4982645,64.9954667,17,Hanhitie,,,,,
25.5004711,64.9958432,3,Otokuja,,,,,
25.5006984,64.9956648,2,Otokuja,,,,,
25.5008963,64.9951871,19,Hanhitie,,,,,
25.4980592,64.9952616,16,Hanhitie,,,,,
25.4982689,64.9949521,4a,Telkkätie,,,,,
